club,asset,wikimedia_file,direct_url,license,wikipedia_page
abha,crest,File:Abha city.png,https://upload.wikimedia.org/wikipedia/commons/c/cb/Abha_city.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Abha
ac-milan,crest,File:Logo of AC Milan.svg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Logo_of_AC_Milan.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Non-free (fair use),AC Milan
ac-milan,kit-away,File:Kit body milan2627a.png,https://upload.wikimedia.org/wikipedia/commons/1/1d/Kit_body_milan2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Milan
ac-milan,kit-home,File:Kit body milan2627h.png,https://upload.wikimedia.org/wikipedia/commons/c/ce/Kit_body_milan2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Milan
ac-milan,kit-third,File:Kit body milan2627t.png,https://upload.wikimedia.org/wikipedia/commons/9/9e/Kit_body_milan2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AC Milan
aek-athens,crest,File:AEK Athens FC logo.svg,https://upload.wikimedia.org/wikipedia/en/0/04/AEK_Athens_FC_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AEK Athens F.C.
aek-athens,kit-away,File:Kit body aek2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kit_body_aek2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AEK Athens F.C.
aek-athens,kit-home,File:Kit body aek2627h.png,https://upload.wikimedia.org/wikipedia/commons/c/c8/Kit_body_aek2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AEK Athens F.C.
aek-athens,kit-third,File:Kit body aek2627t.png,https://upload.wikimedia.org/wikipedia/commons/9/93/Kit_body_aek2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,AEK Athens F.C.
afc-bournemouth,crest,File:AFC Bournemouth (2013).svg,https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),AFC Bournemouth
